0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
nan,nan,nan,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended,Years ended
nan,nan,nan,September 30 2023,September 30 2023,September 30 2023,nan,nan,nan,September 24 2022,September 24 2022,September 24 2022,nan,nan,nan,September 25 2021,September 25 2021,September 25 2021
Net sales:,Net sales:,Net sales:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Products,Products,Products,,298085,nan,nan,nan,nan,,316199,nan,nan,nan,nan,,297392,nan
Services,Services,Services,85200,85200,nan,nan,nan,nan,78129,78129,nan,nan,nan,nan,68425,68425,nan
Total net sales,Total net sales,Total net sales,383285,383285,nan,nan,nan,nan,394328,394328,nan,nan,nan,nan,365817,365817,nan
Cost of sales:,Cost of sales:,Cost of sales:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Products,Products,Products,189282,189282,nan,nan,nan,nan,201471,201471,nan,nan,nan,nan,192266,192266,nan
Services,Services,Services,24855,24855,nan,nan,nan,nan,22075,22075,nan,nan,nan,nan,20715,20715,nan
Total cost of sales,Total cost of sales,Total cost of sales,214137,214137,nan,nan,nan,nan,223546,223546,nan,nan,nan,nan,212981,212981,nan
Gross margin,Gross margin,Gross margin,169148,169148,nan,nan,nan,nan,170782,170782,nan,nan,nan,nan,152836,152836,nan
Operating expenses:,Operating expenses:,Operating expenses:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Research and development,Research and development,Research and development,29915,29915,nan,nan,nan,nan,26251,26251,nan,nan,nan,nan,21914,21914,nan
Selling general and administrative,Selling general and administrative,Selling general and administrative,24932,24932,nan,nan,nan,nan,25094,25094,nan,nan,nan,nan,21973,21973,nan
Total operating expenses,Total operating expenses,Total operating expenses,54847,54847,nan,nan,nan,nan,51345,51345,nan,nan,nan,nan,43887,43887,nan
Operating income,Operating income,Operating income,114301,114301,nan,nan,nan,nan,119437,119437,nan,nan,nan,nan,108949,108949,nan
Other income/(expense) net,Other income/(expense) net,Other income/(expense) net,(565),(565),nan,nan,nan,nan,(334),(334),nan,nan,nan,nan,258,258,nan
Income before provision for income taxes,Income before provision for income taxes,Income before provision for income taxes,113736,113736,nan,nan,nan,nan,119103,119103,nan,nan,nan,nan,109207,109207,nan
Provision for income taxes,Provision for income taxes,Provision for income taxes,16741,16741,nan,nan,nan,nan,19300,19300,nan,nan,nan,nan,14527,14527,nan
Net income,Net income,Net income,,96995,nan,nan,nan,nan,,99803,nan,nan,nan,nan,,94680,nan
Earnings per share:,Earnings per share:,Earnings per share:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Basic,Basic,Basic,,6.16,nan,nan,nan,nan,,6.15,nan,nan,nan,nan,,5.67,nan
Diluted,Diluted,Diluted,,6.13,nan,nan,nan,nan,,6.11,nan,nan,nan,nan,,5.61,nan
Shares used in computing earnings per share:,Shares used in computing earnings per share:,Shares used in computing earnings per share:,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
Basic,Basic,Basic,15744231,15744231,nan,nan,nan,nan,16215963,16215963,nan,nan,nan,nan,16701272,16701272,nan
Diluted,Diluted,Diluted,15812547,15812547,nan,nan,nan,nan,16325819,16325819,nan,nan,nan,nan,16864919,16864919,nan
