0,1,2,3,4,5,6,7,8,9,10,11
nan,nan,nan,September 30 2023,September 30 2023,September 30 2023,nan,nan,nan,September 24 2022,September 24 2022,September 24 2022
ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:,ASSETS:
Current assets:,Current assets:,Current assets:,nan,nan,nan,nan,nan,nan,nan,nan,nan
Cash and cash equivalents,Cash and cash equivalents,Cash and cash equivalents,,29965,nan,nan,nan,nan,,23646,nan
Marketable securities,Marketable securities,Marketable securities,31590,31590,nan,nan,nan,nan,24658,24658,nan
Accounts receivable net,Accounts receivable net,Accounts receivable net,29508,29508,nan,nan,nan,nan,28184,28184,nan
Vendor non-trade receivables,Vendor non-trade receivables,Vendor non-trade receivables,31477,31477,nan,nan,nan,nan,32748,32748,nan
Inventories,Inventories,Inventories,6331,6331,nan,nan,nan,nan,4946,4946,nan
Other current assets,Other current assets,Other current assets,14695,14695,nan,nan,nan,nan,21223,21223,nan
Total current assets,Total current assets,Total current assets,143566,143566,nan,nan,nan,nan,135405,135405,nan
Non-current assets:,Non-current assets:,Non-current assets:,nan,nan,nan,nan,nan,nan,nan,nan,nan
Marketable securities,Marketable securities,Marketable securities,100544,100544,nan,nan,nan,nan,120805,120805,nan
Property plant and equipment net,Property plant and equipment net,Property plant and equipment net,43715,43715,nan,nan,nan,nan,42117,42117,nan
Other non-current assets,Other non-current assets,Other non-current assets,64758,64758,nan,nan,nan,nan,54428,54428,nan
Total non-current assets,Total non-current assets,Total non-current assets,209017,209017,nan,nan,nan,nan,217350,217350,nan
Total assets,Total assets,Total assets,,352583,nan,nan,nan,nan,,352755,nan
LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:,LIABILITIES AND SHAREHOLDERS’ EQUITY:
Current liabilities:,Current liabilities:,Current liabilities:,nan,nan,nan,nan,nan,nan,nan,nan,nan
Accounts payable,Accounts payable,Accounts payable,,62611,nan,nan,nan,nan,,64115,nan
Other current liabilities,Other current liabilities,Other current liabilities,58829,58829,nan,nan,nan,nan,60845,60845,nan
Deferred revenue,Deferred revenue,Deferred revenue,8061,8061,nan,nan,nan,nan,7912,7912,nan
Commercial paper,Commercial paper,Commercial paper,5985,5985,nan,nan,nan,nan,9982,9982,nan
Term debt,Term debt,Term debt,9822,9822,nan,nan,nan,nan,11128,11128,nan
Total current liabilities,Total current liabilities,Total current liabilities,145308,145308,nan,nan,nan,nan,153982,153982,nan
Non-current liabilities:,Non-current liabilities:,Non-current liabilities:,nan,nan,nan,nan,nan,nan,nan,nan,nan
Term debt,Term debt,Term debt,95281,95281,nan,nan,nan,nan,98959,98959,nan
Other non-current liabilities,Other non-current liabilities,Other non-current liabilities,49848,49848,nan,nan,nan,nan,49142,49142,nan
Total non-current liabilities,Total non-current liabilities,Total non-current liabilities,145129,145129,nan,nan,nan,nan,148101,148101,nan
Total liabilities,Total liabilities,Total liabilities,290437,290437,nan,nan,nan,nan,302083,302083,nan
Commitments and contingencies,Commitments and contingencies,Commitments and contingencies,nan,nan,nan,nan,nan,nan,nan,nan,nan
Shareholders’ equity:,Shareholders’ equity:,Shareholders’ equity:,nan,nan,nan,nan,nan,nan,nan,nan,nan
Common stock and additional paid-in capital 0.00001 par value: 50400000 shares authorized; 15550061 and 15943425 shares issued and outstanding respectively,Common stock and additional paid-in capital 0.00001 par value: 50400000 shares authorized; 15550061 and 15943425 shares issued and outstanding respectively,Common stock and additional paid-in capital 0.00001 par value: 50400000 shares authorized; 15550061 and 15943425 shares issued and outstanding respectively,73812,73812,nan,nan,nan,nan,64849,64849,nan
Accumulated deficit,Accumulated deficit,Accumulated deficit,(214),(214),nan,nan,nan,nan,(3068),(3068),nan
Accumulated other comprehensive loss,Accumulated other comprehensive loss,Accumulated other comprehensive loss,(11452),(11452),nan,nan,nan,nan,(11109),(11109),nan
Total shareholders’ equity,Total shareholders’ equity,Total shareholders’ equity,62146,62146,nan,nan,nan,nan,50672,50672,nan
Total liabilities and shareholders’ equity,Total liabilities and shareholders’ equity,Total liabilities and shareholders’ equity,,352583,nan,nan,nan,nan,,352755,nan
